tick,strategy_0_fraction,strategy_1_fraction,mean_trust,coordination_rate,num_interactions,strategy_switches,converged,majority_strategy,majority_fraction,mean_memory_window,norm_level,belief_error,belief_variance,norm_adoption_rate,mean_norm_strength,mean_ddm_evidence,total_anomalies,norm_crises,enforcement_events,norm_crystallisations,correct_norm_rate,mean_compliance
401,0.78,0.22,0.49441975581222974,0.68,50,31,False,0,0.78,3.47,0,0.20513333333333328,0.06274722222222223,0.0,0.0,0.0,0,0,0,0,0.0,0.0
402,0.76,0.24,0.4880558692828363,0.72,50,22,False,0,0.76,3.45,0,0.23456666666666667,0.08322986111111112,0.0,0.0,0.0,0,0,0,0,0.0,0.0
403,0.78,0.22,0.4761523496016133,0.72,50,24,False,0,0.78,3.4,0,0.20666666666666664,0.056455555555555564,0.0,0.0,0.0,0,0,0,0,0.0,0.0
404,0.81,0.19,0.4773671145428995,0.66,50,19,False,0,0.81,3.41,0,0.18433333333333335,0.04532222222222222,0.0,0.0,0.0,0,0,0,0,0.0,0.0
405,0.86,0.14,0.4886495236898785,0.76,50,25,False,0,0.86,3.39,0,0.18780000000000005,0.04938611111111111,0.0,0.0,0.0,0,0,0,0,0.0,0.0
406,0.8,0.2,0.49235850496964106,0.68,50,24,False,0,0.8,3.44,0,0.19516666666666665,0.053107638888888885,0.0,0.0,0.0,0,0,0,0,0.0,0.0
407,0.79,0.21,0.49025902224515533,0.66,50,27,False,0,0.79,3.43,0,0.19329999999999997,0.049487194444444445,0.0,0.0,0.0,0,0,0,0,0.0,0.0
408,0.83,0.17,0.4893374655396439,0.7,50,34,False,0,0.83,3.5,0,0.18906666666666666,0.050077888888888894,0.0,0.0,0.0,0,0,0,0,0.0,0.0
409,0.84,0.16,0.5047110857312064,0.76,50,25,False,0,0.84,3.5,0,0.19633333333333333,0.05329655555555557,0.0,0.0,0.0,0,0,0,0,0.0,0.0
410,0.79,0.21,0.502448168158872,0.66,50,21,False,0,0.79,3.56,0,0.18563333333333337,0.0458758611111111,0.0,0.0,0.0,0,0,0,0,0.0,0.0
411,0.78,0.22,0.5026401412389153,0.68,50,21,False,0,0.78,3.46,0,0.2016666666666666,0.058636111111111104,0.0,0.0,0.0,0,0,0,0,0.0,0.0
412,0.83,0.17,0.5083569974121892,0.7,50,29,False,0,0.83,3.55,0,0.19000000000000003,0.050705555555555566,0.0,0.0,0.0,0,0,0,0,0.0,0.0
413,0.85,0.15,0.5244492809693452,0.78,50,16,False,0,0.85,3.55,0,0.18033333333333335,0.04579655555555556,0.0,0.0,0.0,0,0,0,0,0.0,0.0
414,0.78,0.22,0.528380766521677,0.68,50,25,False,0,0.78,3.59,0,0.20786666666666662,0.05857044444444444,0.0,0.0,0.0,0,0,0,0,0.0,0.0
415,0.78,0.22,0.5182414428446994,0.72,50,26,False,0,0.78,3.6,0,0.2065333333333333,0.05692777777777777,0.0,0.0,0.0,0,0,0,0,0.0,0.0
416,0.81,0.19,0.5152306882965128,0.66,50,23,False,0,0.81,3.62,0,0.20306666666666667,0.05173611111111111,0.0,0.0,0.0,0,0,0,0,0.0,0.0
417,0.83,0.17,0.5098500194123267,0.7,50,26,False,0,0.83,3.52,0,0.17950000000000002,0.03977430555555555,0.0,0.0,0.0,0,0,0,0,0.0,0.0
418,0.89,0.11,0.5233019546127907,0.82,50,20,False,0,0.89,3.6,0,0.15586666666666665,0.03391388888888889,0.0,0.0,0.0,0,0,0,0,0.0,0.0
419,0.9,0.1,0.5421141807708253,0.8,50,15,False,0,0.9,3.64,0,0.16283333333333336,0.03829097222222222,0.0,0.0,0.0,0,0,0,0,0.0,0.0
420,0.89,0.11,0.5540348837292144,0.78,50,13,False,0,0.89,3.7,0,0.15079999999999996,0.03004444444444445,0.0,0.0,0.0,0,0,0,0,0.0,0.0
421,0.89,0.11,0.5675720577078995,0.78,50,20,False,0,0.89,3.74,0,0.14619999999999997,0.02805555555555556,0.0,0.0,0.0,0,0,0,0,0.0,0.0
422,0.9,0.1,0.583869965405338,0.8,50,15,False,0,0.9,3.8,0,0.13233333333333333,0.020608333333333336,0.0,0.0,0.0,0,0,0,0,0.0,0.0
423,0.89,0.11,0.6010464883978682,0.82,50,17,False,0,0.89,3.85,0,0.13883333333333328,0.023174305555555552,0.0,0.0,0.0,0,0,0,0,0.0,0.0
424,0.9,0.1,0.6217690643820095,0.84,50,13,False,0,0.9,4.01,0,0.14283333333333334,0.033988083333333335,0.0,0.0,0.0,0,0,0,0,0.0,0.0
425,0.87,0.13,0.6266280414881505,0.82,50,19,False,0,0.87,4.0,0,0.15316666666666667,0.02897986111111111,0.0,0.0,0.0,0,0,0,0,0.0,0.0
426,0.9,0.1,0.6368780410135397,0.8,50,15,False,0,0.9,4.07,0,0.14533333333333334,0.03307044444444444,0.0,0.0,0.0,0,0,0,0,0.0,0.0
427,0.9,0.1,0.6500360820062892,0.84,50,16,False,0,0.9,4.12,0,0.14666666666666667,0.03577511111111111,0.0,0.0,0.0,0,0,0,0,0.0,0.0
428,0.84,0.16,0.6406452120513879,0.76,50,18,False,0,0.84,4.05,0,0.15720000000000003,0.026904888888888888,0.0,0.0,0.0,0,0,0,0,0.0,0.0
429,0.91,0.09,0.65158224775148,0.82,50,17,False,0,0.91,4.07,0,0.13923333333333335,0.030124305555555564,0.0,0.0,0.0,0,0,0,0,0.0,0.0
430,0.91,0.09,0.6621385090741875,0.86,50,14,False,0,0.91,4.13,0,0.12816666666666668,0.021484749999999993,0.0,0.0,0.0,0,0,0,0,0.0,0.0
431,0.89,0.11,0.669505282825285,0.78,50,16,False,0,0.89,4.13,0,0.13756666666666664,0.023528083333333328,0.0,0.0,0.0,0,0,0,0,0.0,0.0
432,0.87,0.13,0.6679494222926349,0.78,50,18,False,0,0.87,4.14,0,0.14556666666666668,0.02398541666666667,0.0,0.0,0.0,0,0,0,0,0.0,0.0
433,0.9,0.1,0.6753892730237446,0.8,50,13,False,0,0.9,4.2,0,0.13266666666666668,0.021369333333333348,0.0,0.0,0.0,0,0,0,0,0.0,0.0
434,0.87,0.13,0.6791450774536171,0.78,50,19,False,0,0.87,4.26,0,0.14486666666666667,0.028174333333333346,0.0,0.0,0.0,0,0,0,0,0.0,0.0
435,0.89,0.11,0.6821507739723907,0.78,50,18,False,0,0.89,4.25,0,0.15286666666666665,0.03703933333333334,0.0,0.0,0.0,0,0,0,0,0.0,0.0
436,0.87,0.13,0.6700987138538559,0.78,50,16,False,0,0.87,4.21,0,0.14520000000000002,0.02655400000000001,0.0,0.0,0.0,0,0,0,0,0.0,0.0
437,0.94,0.06,0.6831332093542936,0.88,50,15,False,0,0.94,4.22,0,0.1145666666666667,0.021340972222222226,0.0,0.0,0.0,0,0,0,0,0.0,0.0
438,0.9,0.1,0.6866575891269033,0.8,50,16,False,0,0.9,4.19,0,0.131,0.02291944444444444,0.0,0.0,0.0,0,0,0,0,0.0,0.0
439,0.96,0.04,0.7040643324634762,0.92,50,10,True,0,0.96,4.18,0,0.0909,0.014535416666666667,0.0,0.0,0.0,0,0,0,0,0.0,0.0
440,0.92,0.08,0.7140096977859318,0.88,50,10,False,0,0.92,4.3,0,0.11483333333333334,0.020130527777777782,0.0,0.0,0.0,0,0,0,0,0.0,0.0
441,0.85,0.15,0.7027983032485434,0.74,50,13,False,0,0.85,4.29,0,0.14616666666666667,0.019618750000000008,0.0,0.0,0.0,0,0,0,0,0.0,0.0
442,0.94,0.06,0.7161496319312687,0.88,50,15,False,0,0.94,4.41,0,0.11560000000000002,0.022658444444444446,0.0,0.0,0.0,0,0,0,0,0.0,0.0
443,0.89,0.11,0.713934346997798,0.82,50,11,False,0,0.89,4.39,0,0.14546666666666663,0.031319888888888904,0.0,0.0,0.0,0,0,0,0,0.0,0.0
444,0.89,0.11,0.7077627527878174,0.86,50,16,False,0,0.89,4.37,0,0.14193333333333327,0.027689000000000005,0.0,0.0,0.0,0,0,0,0,0.0,0.0
445,0.96,0.04,0.7222479749016695,0.92,50,13,True,0,0.96,4.4,0,0.09236666666666665,0.016210527777777782,0.0,0.0,0.0,0,0,0,0,0.0,0.0
446,0.93,0.07,0.729883612366376,0.86,50,9,False,0,0.93,4.41,0,0.10673333333333336,0.015514000000000002,0.0,0.0,0.0,0,0,0,0,0.0,0.0
447,0.91,0.09,0.7339521962278347,0.82,50,14,False,0,0.91,4.37,0,0.11303333333333335,0.015714972222222224,0.0,0.0,0.0,0,0,0,0,0.0,0.0
448,0.95,0.05,0.747020131863116,0.9,50,12,True,0,0.95,4.46,0,0.09350000000000003,0.016021638888888887,0.0,0.0,0.0,0,0,0,0,0.0,0.0
449,0.88,0.12,0.74128752046031,0.84,50,13,False,0,0.88,4.41,0,0.13720000000000002,0.02187044444444445,0.0,0.0,0.0,0,0,0,0,0.0,0.0
450,0.91,0.09,0.7383358317507558,0.82,50,11,False,0,0.91,4.41,0,0.12440000000000001,0.020408222222222223,0.0,0.0,0.0,0,0,0,0,0.0,0.0
451,0.94,0.06,0.7472485798521847,0.88,50,15,False,0,0.94,4.42,0,0.1072,0.018398222222222226,0.0,0.0,0.0,0,0,0,0,0.0,0.0
452,0.93,0.07,0.7534150124516564,0.86,50,13,False,0,0.93,4.44,0,0.1114,0.018814888888888888,0.0,0.0,0.0,0,0,0,0,0.0,0.0
453,0.85,0.15,0.7426205626379081,0.74,50,16,False,0,0.85,4.42,0,0.15350000000000003,0.025862749999999997,0.0,0.0,0.0,0,0,0,0,0.0,0.0
454,0.91,0.09,0.7398121627968641,0.82,50,18,False,0,0.91,4.4,0,0.12883333333333336,0.023260527777777783,0.0,0.0,0.0,0,0,0,0,0.0,0.0
455,0.91,0.09,0.7383379553779416,0.82,50,14,False,0,0.91,4.42,0,0.12446666666666668,0.021231222222222228,0.0,0.0,0.0,0,0,0,0,0.0,0.0
456,0.88,0.12,0.7310399934371106,0.84,50,17,False,0,0.88,4.36,0,0.13946666666666666,0.023552888888888887,0.0,0.0,0.0,0,0,0,0,0.0,0.0
457,0.87,0.13,0.7279821622340563,0.74,50,21,False,0,0.87,4.39,0,0.15370000000000006,0.036368750000000005,0.0,0.0,0.0,0,0,0,0,0.0,0.0
458,0.84,0.16,0.7064696816591646,0.72,50,19,False,0,0.84,4.24,0,0.15053333333333338,0.02740711111111111,0.0,0.0,0.0,0,0,0,0,0.0,0.0
459,0.84,0.16,0.6880867193205122,0.68,50,16,False,0,0.84,4.2,0,0.14683333333333334,0.025646527777777775,0.0,0.0,0.0,0,0,0,0,0.0,0.0
460,0.84,0.16,0.6759797906907457,0.72,50,26,False,0,0.84,4.2,0,0.15823333333333336,0.03446608333333335,0.0,0.0,0.0,0,0,0,0,0.0,0.0
461,0.87,0.13,0.667676017945164,0.78,50,19,False,0,0.87,4.13,0,0.14800000000000002,0.028029333333333333,0.0,0.0,0.0,0,0,0,0,0.0,0.0
462,0.84,0.16,0.6608879798626033,0.68,50,19,False,0,0.84,4.1,0,0.15963333333333338,0.03359363888888889,0.0,0.0,0.0,0,0,0,0,0.0,0.0
463,0.85,0.15,0.649398185901488,0.7,50,19,False,0,0.85,4.08,0,0.15633333333333335,0.0316248888888889,0.0,0.0,0.0,0,0,0,0,0.0,0.0
464,0.9,0.1,0.6589196206024255,0.84,50,19,False,0,0.9,4.12,0,0.1475,0.03219719444444445,0.0,0.0,0.0,0,0,0,0,0.0,0.0
