N,topology,degree_k,rewire_p,trial,converged,conv_tick,total_ticks,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err
100,ring,8,0.0,43,true,465,665,1.0,1.0,99,0.9454090657859425,0.0
100,ring,8,0.0,38,true,78,278,1.0,1.0,100,0.9197470812504477,0.0
100,ring,8,0.0,44,true,101,301,1.0,1.0,100,0.9254498717255814,0.0
100,ring,8,0.0,5,true,240,440,1.0,1.0,100,0.9078341478006835,0.0
100,ring,8,0.0,45,true,832,1032,1.0,1.0,100,0.9352155726393646,0.0
100,ring,8,0.0,48,true,782,982,1.0,1.0,100,0.9529459325155645,0.0
100,ring,8,0.0,33,true,988,1188,1.0,1.0,100,0.9361142382920206,0.0
100,ring,8,0.0,50,true,671,871,1.0,1.0,100,0.9390832079461201,0.0
100,ring,8,0.0,19,true,1458,1658,1.0,1.0,99,0.9377588878228139,0.0
100,ring,8,0.0,31,true,1452,1652,1.0,1.0,100,0.9296405971204844,0.0
100,ring,8,0.0,41,true,1573,1773,1.0,1.0,100,0.9359680101928762,0.0
100,ring,8,0.0,28,true,1714,1914,1.0,1.0,100,0.9350272115444561,0.0
100,ring,8,0.0,20,true,468,668,1.0,1.0,100,0.9344966345266257,0.0
100,ring,8,0.0,13,true,1860,2060,1.0,1.0,100,0.9349367973395255,0.0
100,ring,8,0.0,35,true,2052,2252,1.0,1.0,100,0.9383664054343555,0.0
100,ring,8,0.0,32,true,486,686,1.0,1.0,100,0.9341772618022024,0.0
100,ring,8,0.0,46,true,1381,1581,1.0,1.0,100,0.9367989416120972,0.0
100,ring,8,0.0,36,true,207,407,1.0,1.0,99,0.9228437269133546,0.0
100,ring,8,0.0,22,true,2603,2803,1.0,1.0,100,0.915166681464691,0.0
100,ring,8,0.0,10,true,2832,3032,1.0,1.0,100,0.9488650969738525,0.0
100,ring,8,0.0,16,true,2514,2714,1.0,1.0,100,0.927781200493902,0.0
100,ring,8,0.0,29,true,706,906,1.0,1.0,100,0.9344747336343826,0.0
100,ring,8,0.0,23,true,384,584,1.0,1.0,99,0.9103211940191065,0.0
100,ring,8,0.0,17,true,539,739,1.0,1.0,99,0.9386933970922838,0.0
100,ring,8,0.0,25,true,3172,3372,1.0,1.0,100,0.9481393243723065,0.0
100,ring,8,0.0,1,true,3443,3643,1.0,1.0,99,0.9260243303722584,0.0
100,ring,8,0.0,40,true,3281,3481,1.0,1.0,100,0.9324776914656975,0.0
100,ring,8,0.0,7,true,3340,3540,1.0,1.0,100,0.924591960822014,0.0
100,ring,8,0.0,30,true,262,462,1.0,1.0,100,0.9302580969839377,0.0
100,ring,8,0.0,26,true,126,326,1.0,1.0,100,0.9150872620511408,0.0
100,ring,8,0.0,14,true,1120,1320,1.0,1.0,100,0.928600222192714,0.0
100,ring,8,0.0,2,true,286,486,1.0,1.0,100,0.9440168077079432,0.0
100,ring,8,0.0,34,true,2757,2957,1.0,1.0,99,0.929876266731965,0.0
100,ring,8,0.0,27,true,177,377,1.0,1.0,100,0.9197904015559655,0.0
100,ring,8,0.0,6,true,3286,3486,1.0,1.0,100,0.9234957296785119,0.0
100,ring,8,0.0,21,true,2859,3059,1.0,1.0,100,0.9394095717175306,0.0
100,ring,8,0.0,15,true,889,1089,1.0,1.0,99,0.940499377737488,0.0
100,ring,8,0.0,11,true,2942,3142,1.0,1.0,100,0.9449308004737066,0.0
100,ring,8,0.0,12,true,34,234,1.0,1.0,99,0.92493530388724,0.0
100,ring,8,0.0,3,true,2768,2968,1.0,1.0,99,0.9235022439857086,0.0
100,ring,8,0.0,42,false,0,5000,0.8936170212765957,0.5800000000000001,97,0.7914500833392808,0.44733333333333414
100,ring,8,0.0,8,true,3516,3716,1.0,1.0,100,0.9286221265838122,0.0
100,ring,8,0.0,18,true,4183,4383,1.0,1.0,100,0.9309268625339797,0.0
100,ring,8,0.0,24,false,0,5000,0.9166666666666666,0.52,95,0.77555150518301,0.4516999999999991
100,ring,8,0.0,9,true,1320,1520,1.0,1.0,99,0.9397774015124462,0.0
100,ring,16,0.0,45,true,39,239,1.0,1.0,100,0.9263329327599044,0.0
100,ring,16,0.0,39,true,29,229,1.0,1.0,100,0.9273061671477087,0.0
100,ring,16,0.0,43,true,76,276,1.0,1.0,100,0.924204358408933,0.0
100,ring,16,0.0,7,true,42,242,1.0,1.0,100,0.9273764070912357,0.0
100,ring,16,0.0,16,true,82,282,1.0,1.0,100,0.9218022908654944,0.0
100,ring,16,0.0,33,true,106,306,1.0,1.0,100,0.9128220270286634,0.0
100,ring,16,0.0,49,true,185,385,1.0,1.0,99,0.9164339607165801,0.0
100,ring,16,0.0,25,true,233,433,1.0,1.0,99,0.8956920474952887,0.0
100,ring,16,0.0,10,true,243,443,1.0,1.0,100,0.9068911742001663,0.0
100,ring,16,0.0,8,true,38,238,1.0,1.0,100,0.9197399412793932,0.0
100,ring,16,0.0,47,true,61,261,1.0,1.0,99,0.9192833529706773,0.0
100,ring,16,0.0,35,true,285,485,1.0,1.0,100,0.9019339770029785,0.0
100,ring,16,0.0,31,true,363,563,1.0,1.0,100,0.911026397662304,0.0
100,ring,16,0.0,44,true,23,223,1.0,1.0,100,0.9259211471848245,0.0
100,ring,16,0.0,40,true,81,281,1.0,1.0,100,0.9116901497332734,0.0
100,ring,16,0.0,34,true,20,220,1.0,1.0,100,0.926040995303282,0.0
100,ring,16,0.0,37,true,368,568,1.0,1.0,99,0.9108728198049858,0.0
100,ring,16,0.0,26,true,23,223,1.0,1.0,99,0.9270263595258359,0.0
100,ring,16,0.0,50,true,107,307,1.0,1.0,100,0.9220120393227147,0.0
100,ring,16,0.0,4,true,399,599,1.0,1.0,99,0.9112292910047215,0.0
100,ring,16,0.0,13,true,527,727,1.0,1.0,100,0.9110235419476925,0.0
100,ring,16,0.0,1,true,601,801,1.0,1.0,100,0.9007422633452984,0.0
100,ring,16,0.0,17,true,307,507,1.0,1.0,100,0.9104425571925172,0.0
100,ring,16,0.0,11,true,170,370,1.0,1.0,100,0.9234281933425257,0.0
100,ring,16,0.0,48,true,157,357,1.0,1.0,100,0.9002010231929547,0.0
100,ring,16,0.0,36,true,110,310,1.0,1.0,100,0.9150426832833831,0.0
100,ring,16,0.0,27,true,40,240,1.0,1.0,99,0.9293412030870613,0.0
