tick,fraction_A,coordination,n_uncr,n_cryst_A,n_cryst_B,new_cryst_A,new_cryst_B,dissolutions,bexp_all,bexp_uncr,bexp_crA,bexp_crB,beff_all,beff_uncr,beff_crA,beff_crB,C_all,C_uncr,C_crA,C_crB,sigma_crA,sigma_crB,anom_crA,anom_crB,compl_crA,compl_crB,e_uncr_mean,e_uncr_abs_mean
90,1.0,1.0,1,99,0,0,0,0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,NaN,0.9414,0.9393,0.9414,NaN,0.7318,NaN,2.32,NaN,0.5674,NaN,2.897,2.897
91,1.0,1.0,1,99,0,0,0,0,1.0,1.0,1.0,NaN,1.0,1.0,1.0,NaN,0.9473,0.9453,0.9473,NaN,0.7332,NaN,2.32,NaN,0.5691,NaN,2.956,2.956
92,1.0,1.0,0,100,0,1,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9525,NaN,0.9525,NaN,0.7352,NaN,2.3,NaN,0.565,NaN,NaN,NaN
93,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9573,NaN,0.9573,NaN,0.7365,NaN,2.3,NaN,0.573,NaN,NaN,NaN
94,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9616,NaN,0.9616,NaN,0.7378,NaN,2.3,NaN,0.5746,NaN,NaN,NaN
95,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9654,NaN,0.9654,NaN,0.7391,NaN,2.3,NaN,0.5763,NaN,NaN,NaN
96,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9689,NaN,0.9689,NaN,0.7404,NaN,2.3,NaN,0.5779,NaN,NaN,NaN
97,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.972,NaN,0.972,NaN,0.7417,NaN,2.3,NaN,0.5795,NaN,NaN,NaN
98,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9748,NaN,0.9748,NaN,0.743,NaN,2.3,NaN,0.5811,NaN,NaN,NaN
99,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9773,NaN,0.9773,NaN,0.7443,NaN,2.3,NaN,0.5827,NaN,NaN,NaN
100,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9796,NaN,0.9796,NaN,0.7456,NaN,2.3,NaN,0.5843,NaN,NaN,NaN
101,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9816,NaN,0.9816,NaN,0.7468,NaN,2.3,NaN,0.5859,NaN,NaN,NaN
102,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9835,NaN,0.9835,NaN,0.7481,NaN,2.3,NaN,0.5875,NaN,NaN,NaN
103,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9851,NaN,0.9851,NaN,0.7494,NaN,2.3,NaN,0.5891,NaN,NaN,NaN
104,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9866,NaN,0.9866,NaN,0.7506,NaN,2.3,NaN,0.5907,NaN,NaN,NaN
105,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9879,NaN,0.9879,NaN,0.7519,NaN,2.3,NaN,0.5923,NaN,NaN,NaN
106,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9891,NaN,0.9891,NaN,0.7531,NaN,2.3,NaN,0.5939,NaN,NaN,NaN
107,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9902,NaN,0.9902,NaN,0.7543,NaN,2.3,NaN,0.5955,NaN,NaN,NaN
108,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9912,NaN,0.9912,NaN,0.7556,NaN,2.3,NaN,0.597,NaN,NaN,NaN
109,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9921,NaN,0.9921,NaN,0.7568,NaN,2.3,NaN,0.5986,NaN,NaN,NaN
110,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9929,NaN,0.9929,NaN,0.758,NaN,2.3,NaN,0.6002,NaN,NaN,NaN
111,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9936,NaN,0.9936,NaN,0.7592,NaN,2.3,NaN,0.6018,NaN,NaN,NaN
112,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9942,NaN,0.9942,NaN,0.7604,NaN,2.3,NaN,0.6033,NaN,NaN,NaN
113,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9948,NaN,0.9948,NaN,0.7616,NaN,2.3,NaN,0.6049,NaN,NaN,NaN
114,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9953,NaN,0.9953,NaN,0.7628,NaN,2.3,NaN,0.6064,NaN,NaN,NaN
115,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9958,NaN,0.9958,NaN,0.764,NaN,2.3,NaN,0.608,NaN,NaN,NaN
116,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9962,NaN,0.9962,NaN,0.7652,NaN,2.3,NaN,0.6095,NaN,NaN,NaN
117,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9966,NaN,0.9966,NaN,0.7664,NaN,2.3,NaN,0.6111,NaN,NaN,NaN
118,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9969,NaN,0.9969,NaN,0.7675,NaN,2.3,NaN,0.6126,NaN,NaN,NaN
119,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9972,NaN,0.9972,NaN,0.7687,NaN,2.3,NaN,0.6142,NaN,NaN,NaN
120,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9975,NaN,0.9975,NaN,0.7698,NaN,2.3,NaN,0.6157,NaN,NaN,NaN
121,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9978,NaN,0.9978,NaN,0.771,NaN,2.3,NaN,0.6172,NaN,NaN,NaN
122,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.998,NaN,0.998,NaN,0.7721,NaN,2.3,NaN,0.6188,NaN,NaN,NaN
123,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9982,NaN,0.9982,NaN,0.7733,NaN,2.3,NaN,0.6203,NaN,NaN,NaN
124,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9984,NaN,0.9984,NaN,0.7744,NaN,2.3,NaN,0.6218,NaN,NaN,NaN
125,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9985,NaN,0.9985,NaN,0.7755,NaN,2.3,NaN,0.6233,NaN,NaN,NaN
126,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9987,NaN,0.9987,NaN,0.7767,NaN,2.3,NaN,0.6248,NaN,NaN,NaN
127,1.0,1.0,0,100,0,0,0,0,1.0,NaN,1.0,NaN,1.0,NaN,1.0,NaN,0.9988,NaN,0.9988,NaN,0.7778,NaN,2.3,NaN,0.6264,NaN,NaN,NaN
