N,condition,w_base,w_max,enable_normative,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
200,B_lockin_only,2,6,false,5,0,false,79,78,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,6,0,false,100,99,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,7,0,false,82,78,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,8,0,false,167,160,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,9,0,false,137,140,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,10,0,false,135,135,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,11,0,false,119,81,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,12,0,false,124,124,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,13,0,false,80,76,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,14,0,false,98,91,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,15,0,false,178,174,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,16,0,false,82,67,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,17,0,false,127,126,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,18,0,false,80,82,0,0,1.0,0.9999999986751608,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,19,0,false,215,214,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,20,0,false,172,174,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,21,0,false,98,94,0,0,1.0,0.9999999999318961,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,22,0,false,100,100,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,23,0,false,82,82,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,24,0,false,129,125,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,25,0,false,118,121,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,26,0,false,57,57,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,27,0,false,122,68,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,28,0,false,134,134,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,29,0,false,144,131,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
200,B_lockin_only,2,6,false,30,0,false,135,131,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
200,C_normative_only,5,5,true,1,117,true,68,66,67,68,1.0,0.9977336008134385,200,0.730673027366734,1.0,117
200,C_normative_only,5,5,true,2,102,true,34,36,53,53,0.0,0.9995275584281775,196,0.8340986957392073,0.98,102
200,C_normative_only,5,5,true,3,107,true,55,55,58,58,1.0,0.9984208683664632,199,0.7459388581576972,0.995,107
200,C_normative_only,5,5,true,4,113,true,62,62,64,64,1.0,0.9976140309836904,200,0.7172397881433409,1.0,113
200,C_normative_only,5,5,true,5,100,true,38,38,51,51,0.0,0.9993548495726771,197,0.8424764203691303,0.985,100
200,C_normative_only,5,5,true,6,104,true,34,35,55,55,0.0,0.9996759527897274,195,0.8443210658750349,0.975,104
200,C_normative_only,5,5,true,7,120,true,68,66,66,68,1.0,0.9982047597606263,199,0.706492611238895,0.995,120
200,C_normative_only,5,5,true,8,98,true,35,35,49,49,1.0,0.9993373247377236,195,0.8534752669623447,0.975,98
200,C_normative_only,5,5,true,9,112,true,58,56,63,63,1.0,0.9983029074622728,200,0.7400877051844695,1.0,112
200,C_normative_only,5,5,true,10,117,true,66,66,66,66,0.0,0.9965752325922108,199,0.7298777183428093,0.995,117
200,C_normative_only,5,5,true,11,81,true,29,31,31,32,0.0,0.9975742865407946,197,0.8436464483779544,0.985,81
200,C_normative_only,5,5,true,12,104,true,42,41,55,55,0.0,0.99928870313548,196,0.8175363328993378,0.98,104
200,C_normative_only,5,5,true,13,78,true,27,27,26,27,1.0,0.9979045717534877,198,0.8507365595555264,0.99,78
200,C_normative_only,5,5,true,14,103,true,39,39,54,54,0.0,0.9994522114456191,199,0.8297803486698386,0.995,103
200,C_normative_only,5,5,true,15,110,true,45,44,61,61,1.0,0.9995278792880455,198,0.8004895291866381,0.99,110
200,C_normative_only,5,5,true,16,110,true,57,57,60,61,0.0,0.9982346877116148,200,0.7307910919362886,1.0,110
200,C_normative_only,5,5,true,17,97,true,31,33,48,48,0.0,0.9994435854355723,197,0.8533970659567734,0.985,97
200,C_normative_only,5,5,true,18,107,true,40,40,58,58,1.0,0.9995659392719131,196,0.8282945770363721,0.98,107
200,C_normative_only,5,5,true,19,104,true,40,40,55,55,0.0,0.9994689252425204,196,0.832596139731561,0.98,104
200,C_normative_only,5,5,true,20,98,true,34,34,49,49,1.0,0.999425511141371,198,0.8530697334925303,0.99,98
200,C_normative_only,5,5,true,21,95,true,37,37,46,46,0.0,0.9988822774496359,195,0.8442973971667928,0.975,95
200,C_normative_only,5,5,true,22,129,true,80,80,78,80,1.0,0.9976771450141468,199,0.7809243851164587,0.995,129
200,C_normative_only,5,5,true,23,86,true,36,35,37,37,0.0,0.9977503429515082,195,0.8376127268723583,0.975,86
200,C_normative_only,5,5,true,24,101,true,39,39,52,52,1.0,0.9993392564367157,194,0.8416459608036956,0.97,101
200,C_normative_only,5,5,true,25,106,true,43,43,57,57,1.0,0.9993582940120734,195,0.815983023951758,0.975,106
