N,theta_crystal,trial,converged,convergence_tick,first_tick_behavioral,final_frac_dominant_norm
500,8.0,16,true,1653,64,0.9
500,8.0,17,true,337,51,0.904
500,8.0,18,true,1304,80,0.904
500,8.0,19,true,139,43,0.908
500,8.0,20,true,425,101,0.902
500,8.0,21,true,307,66,0.904
500,8.0,22,true,117,47,0.944
500,8.0,23,true,124,44,0.924
500,8.0,24,true,120,51,0.93
500,8.0,25,true,717,57,0.902
500,8.0,26,true,242,47,0.906
500,8.0,27,true,1068,55,0.902
500,8.0,28,true,581,63,0.904
500,8.0,29,true,868,53,0.906
500,8.0,30,true,650,49,0.902
500,12.0,1,false,0,100,0.858
500,12.0,2,true,1852,59,0.9
500,12.0,3,false,0,77,0.876
500,12.0,4,true,2232,69,0.9
500,12.0,5,true,2457,69,0.9
500,12.0,6,false,0,142,0.852
500,12.0,7,true,1540,63,0.9
500,12.0,8,false,0,71,0.88
500,12.0,9,false,0,72,0.87
500,12.0,10,true,1393,58,0.902
500,12.0,11,true,1092,62,0.9
500,12.0,12,false,0,86,0.81
500,12.0,13,false,0,104,0.844
500,12.0,14,true,869,56,0.9
500,12.0,15,false,0,83,0.834
500,12.0,16,true,341,61,0.906
500,12.0,17,false,0,83,0.876
500,12.0,18,false,0,85,0.842
500,12.0,19,false,0,82,0.838
500,12.0,20,true,2600,75,0.9
500,12.0,21,false,0,72,0.902
500,12.0,22,true,943,60,0.902
500,12.0,23,false,0,71,0.884
500,12.0,24,false,0,76,0.878
500,12.0,25,true,1052,63,0.902
500,12.0,26,false,0,98,0.826
500,12.0,27,false,0,84,0.848
500,12.0,28,true,1581,53,0.904
500,12.0,29,true,1265,69,0.9
500,12.0,30,false,0,61,0.896
