theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,0.5,25,true,109,109,1.0,0.9997349274380535,98,0.8646463128372961,0.98,38,38,60,60,16,538,14,0,1.0,1
3.0,2.0,22,true,109,109,0.0,0.998984670848283,97,0.7561050973968255,0.97,51,51,60,60,40,1038,37,0,1.0,7
3.0,0.0,12,true,103,103,1.0,0.9992529803742872,98,0.8140849747207032,0.98,38,38,54,54,21,0,19,0,1.0,8
3.0,0.5,11,true,106,106,1.0,0.9995279971913932,97,0.8547498434722667,0.97,37,37,57,57,22,665,19,0,1.0,1
3.0,0.0,26,true,101,101,1.0,0.9993645870056365,98,0.84311016880461,0.98,33,35,52,52,17,0,15,0,1.0,5
3.0,5.0,10,true,109,109,0.0,0.9997287906531966,98,0.865380729390038,0.98,34,37,60,60,27,651,25,0,1.0,0
3.0,1.0,12,true,97,97,1.0,0.9995474645611983,97,0.8611604947683446,0.97,30,31,48,48,12,400,9,0,1.0,0
3.0,2.0,11,true,102,102,1.0,0.9996845534064219,97,0.8640745808382395,0.97,31,32,53,53,17,478,14,0,1.0,0
3.0,1.0,25,true,103,103,0.0,0.9995926347415014,99,0.862590448969643,0.99,33,35,54,54,14,484,13,0,1.0,1
3.0,5.0,23,true,130,130,1.0,0.9999789358328423,93,0.8805814002930032,0.93,34,34,81,81,25,638,18,0,1.0,2
3.0,0.5,12,true,99,99,1.0,0.9995720753264361,97,0.8622228951426631,0.97,30,32,50,50,13,411,10,0,1.0,0
3.0,0.5,26,true,101,101,1.0,0.9992959079975522,99,0.8614066571797453,0.99,35,35,52,52,13,467,12,0,1.0,1
3.0,0.0,27,true,105,105,1.0,0.9995960309250514,96,0.8365588066572914,0.96,39,39,56,56,20,0,16,0,1.0,9
3.0,0.0,13,true,96,96,1.0,0.999386764412066,97,0.8540818920980493,0.97,31,32,47,47,13,0,10,0,1.0,5
3.0,1.0,13,true,75,75,1.0,0.9976234641167181,99,0.8488328916127222,0.99,25,26,24,26,6,249,5,0,1.0,0
3.0,2.0,23,true,113,113,0.0,0.9994547503071984,96,0.8294378737757508,0.96,49,49,64,64,37,945,33,0,1.0,7
3.0,2.0,12,true,106,106,0.0,0.998116803467654,98,0.7419631184918306,0.98,48,55,57,57,40,1059,38,0,1.0,8
3.0,1.0,26,true,102,102,1.0,0.9995700758027612,97,0.8618446700611149,0.97,34,34,53,53,17,519,14,0,1.0,0
3.0,0.5,27,true,74,74,0.0,0.9977160777855212,100,0.8490200853308386,1.0,22,21,22,22,3,144,3,0,1.0,0
3.0,5.0,24,true,110,110,1.0,0.9997017628141297,93,0.857808629934297,0.93,40,40,61,61,33,795,26,0,1.0,3
3.0,5.0,11,true,160,160,1.0,0.9987713819782239,98,0.7314635629932478,0.98,105,104,111,111,134,2024,92,40,1.0,34
