theta_crystal,Phi,trial,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,5.0,29,true,76,76,1.0,0.9969407908816754,97,0.8505341617400936,0.97,23,25,18,25,7,262,4,0,1.0,1
5.0,0.5,17,true,92,92,0.0,0.9990669583783115,95,0.8538368491305953,0.95,31,33,43,43,2,128,0,0,1.0,0
3.0,0.5,30,true,109,109,0.0,0.99972109859734,99,0.8650389764990271,0.99,40,40,60,60,14,513,13,0,1.0,0
3.0,2.0,13,true,100,100,0.0,0.9993121018260207,99,0.8614972751074993,0.99,36,36,51,51,18,534,17,0,1.0,3
3.0,0.0,16,true,84,84,1.0,0.9979810811117331,98,0.8523318826870228,0.98,31,31,33,35,9,0,7,0,1.0,1
3.0,2.0,14,true,67,67,0.0,0.9973482518694162,100,0.8469824217657195,1.0,16,16,18,18,1,87,1,0,1.0,0
3.0,5.0,30,true,103,103,1.0,0.9976581578747914,100,0.6844673443759015,1.0,53,53,54,54,44,1069,43,1,1.0,10
5.0,0.5,18,true,81,81,0.0,0.9980140107136249,99,0.8487848644166859,0.99,29,29,32,32,1,95,0,0,1.0,0
3.0,0.0,17,true,79,79,1.0,0.9978637569441109,98,0.848459645688453,0.98,28,28,30,30,8,0,6,0,1.0,1
3.0,1.0,1,true,117,117,0.0,0.9995619053317333,96,0.8390751944226169,0.96,51,51,68,68,35,988,31,0,1.0,9
3.0,2.0,15,true,70,70,1.0,0.9971815606273629,100,0.8473079310071694,1.0,20,21,19,21,2,131,2,0,1.0,0
5.0,0.0,1,true,91,91,0.0,0.9989598445645871,96,0.8519809741334298,0.96,32,32,42,42,1,0,0,0,1.0,1
5.0,0.5,19,true,88,88,1.0,0.998238441244241,98,0.8512557476438529,0.98,33,33,39,39,2,170,0,0,1.0,0
3.0,0.0,18,true,102,102,0.0,0.9993320962606016,96,0.8383012701495068,0.96,39,39,53,53,17,0,13,0,1.0,8
3.0,1.0,2,true,101,101,0.0,0.999538428110703,100,0.861924802415854,1.0,33,34,52,52,17,518,17,0,1.0,2
3.0,2.0,16,true,75,75,0.0,0.9974376213659994,100,0.848357594221617,1.0,26,26,25,26,5,225,5,0,1.0,0
5.0,0.0,2,true,101,101,0.0,0.9993760263388378,96,0.8568341889388869,0.96,36,36,52,52,2,0,1,0,1.0,1
3.0,2.0,17,true,74,74,0.0,0.997857009879073,99,0.8494190029517714,0.99,22,23,19,23,6,193,5,0,1.0,0
3.0,1.0,3,true,116,116,1.0,0.9976972202924845,99,0.7215596055158636,0.99,66,66,67,67,47,1191,42,4,1.0,16
5.0,0.0,3,true,79,79,1.0,0.9986524503279702,100,0.849464631409935,1.0,24,24,30,30,0,0,0,0,1.0,0
3.0,2.0,18,true,122,122,0.0,0.9982122861027856,99,0.7381761442726166,0.99,69,70,73,73,73,1248,50,22,1.0,20
5.0,0.0,4,true,95,95,0.0,0.998623834071426,95,0.8478006705394128,0.95,39,39,46,46,4,0,0,0,1.0,1
