alpha,beta,ratio,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.1,0.15,1.5,D_full_model,7,80,true,27,27,31,31,0.0,0.998205689403257,97,0.8493035973356962,0.97,80
0.1,0.15,1.5,D_full_model,8,79,true,26,26,30,30,1.0,0.9986049117613268,99,0.8488625403494042,0.99,79
0.1,0.15,1.5,D_full_model,9,110,true,46,46,61,61,0.0,0.9995828200558905,96,0.831105145290412,0.96,110
0.1,0.15,1.5,D_full_model,10,79,true,24,25,30,30,0.0,0.998660741451598,100,0.8497811272522078,1.0,79
0.1,0.15,1.5,D_full_model,11,134,true,84,81,85,85,1.0,0.9986455149096397,99,0.7985077905740313,0.99,134
0.1,0.15,1.5,D_full_model,12,122,true,55,56,73,73,0.0,0.9995592251573581,97,0.7706332545286811,0.97,122
0.1,0.15,1.5,D_full_model,13,126,true,44,44,77,77,0.0,0.9999396402847474,94,0.8319656921537549,0.94,126
0.1,0.15,1.5,D_full_model,14,103,true,42,41,54,54,0.0,0.9995556014512236,95,0.8301933510325973,0.95,103
0.1,0.15,1.5,D_full_model,15,82,true,31,31,33,33,1.0,0.9984053660121135,99,0.8500412784653759,0.99,82
0.1,0.15,1.5,D_full_model,16,102,true,36,40,53,53,0.0,0.9995084591442115,98,0.8494051801670166,0.98,102
0.1,0.15,1.5,D_full_model,17,108,true,36,39,59,59,1.0,0.9997771118990562,96,0.8585184867448957,0.96,108
0.1,0.15,1.5,D_full_model,18,99,true,35,36,50,50,0.0,0.9995333416716625,93,0.8587452465501878,0.93,99
0.1,0.15,1.5,D_full_model,19,78,true,24,26,29,29,1.0,0.9985285005198834,99,0.8489932880262958,0.99,78
0.1,0.15,1.5,D_full_model,20,79,true,30,30,30,30,0.0,0.9981142728368814,98,0.8486989736827294,0.98,79
0.1,0.15,1.5,D_full_model,21,94,true,36,36,45,45,1.0,0.99916741575051,96,0.8457462354106605,0.96,94
0.1,0.15,1.5,D_full_model,22,114,true,49,49,65,65,1.0,0.9996300168486504,98,0.80796437683143,0.98,114
0.1,0.15,1.5,D_full_model,23,89,true,34,36,40,40,0.0,0.9988471987302866,96,0.8434485133679543,0.96,89
0.1,0.15,1.5,D_full_model,24,110,true,40,40,61,61,1.0,0.9997389012552005,93,0.8592279482495843,0.93,110
0.1,0.15,1.5,D_full_model,25,74,true,21,23,25,25,0.0,0.9984106461391116,99,0.8485319207183218,0.99,74
0.1,0.15,1.5,D_full_model,26,99,true,36,36,50,50,1.0,0.9995189433942779,99,0.8493250024531229,0.99,99
0.1,0.15,1.5,D_full_model,27,114,true,57,60,65,65,1.0,0.999122333363032,95,0.7766591947091244,0.95,114
0.1,0.15,1.5,D_full_model,28,106,true,37,39,57,57,0.0,0.9996189654175754,95,0.8451178338328588,0.95,106
0.1,0.15,1.5,D_full_model,29,85,true,30,32,36,36,1.0,0.9987756977479582,96,0.8510899769598924,0.96,85
0.1,0.15,1.5,D_full_model,30,122,true,56,56,73,73,1.0,0.9996586130980764,96,0.7768353157528862,0.96,122
0.1,0.2,2.0,A_baseline,1,0,false,1003,658,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,2,0,false,701,701,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,3,0,false,612,615,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,4,0,false,329,330,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,5,0,false,929,929,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,6,0,false,760,755,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,7,0,false,1604,1603,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,8,0,false,2733,2651,0,0,0.85,0.8049284959136567,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,9,0,false,794,789,0,0,0.0,0.9999999999999999,0,0.0,0.0,3000
0.1,0.2,2.0,A_baseline,10,0,false,2461,2465,0,0,1.0,0.9999999999999999,0,0.0,0.0,3000
