theta_crystal,condition,trial,convergence_tick,converged,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
5.0,D_full_model,10,79,true,24,26,30,30,1.0,0.9983623871326631,99,0.8485578626025049,0.99,79
5.0,D_full_model,11,117,true,56,57,68,68,1.0,0.9992399033756278,96,0.8233843632622371,0.96,117
5.0,D_full_model,12,111,true,42,42,62,62,0.0,0.9997022979329604,95,0.8598264984173837,0.95,111
5.0,D_full_model,13,88,true,33,33,39,39,0.0,0.9985421633176833,99,0.8509051721408828,0.99,88
5.0,D_full_model,14,81,true,25,26,32,32,1.0,0.9985920542490294,100,0.8494436666148292,1.0,81
5.0,D_full_model,15,107,true,42,43,58,58,1.0,0.999445029825719,93,0.8460355913455087,0.93,107
5.0,D_full_model,16,88,true,35,35,39,39,1.0,0.9982929900065642,97,0.8443511564866573,0.97,88
5.0,D_full_model,17,91,true,37,37,42,42,1.0,0.9980380791051744,97,0.8456085706998665,0.97,91
5.0,D_full_model,18,92,true,39,40,43,43,0.0,0.9982980852257568,97,0.8504323369962168,0.97,92
5.0,D_full_model,19,96,true,37,37,47,47,1.0,0.9988922418705232,97,0.8533719653856475,0.97,96
5.0,D_full_model,20,81,true,25,25,32,32,1.0,0.998661821647912,98,0.8499416905429275,0.98,81
5.0,D_full_model,21,95,true,39,39,46,46,1.0,0.9988937527981588,97,0.8531129485060741,0.97,95
5.0,D_full_model,22,81,true,27,27,32,32,0.0,0.9983561104198239,99,0.8488480547002568,0.99,81
5.0,D_full_model,23,128,true,60,62,79,79,1.0,0.9995672805087612,94,0.8225691695447283,0.94,128
5.0,D_full_model,24,80,true,26,27,31,31,1.0,0.9983180777188079,99,0.8494598881003941,0.99,80
5.0,D_full_model,25,84,true,29,30,35,35,0.0,0.9983901800676239,99,0.8487895531666306,0.99,84
5.0,D_full_model,26,87,true,32,32,38,38,1.0,0.9984610128363753,100,0.8487984251798776,1.0,87
5.0,D_full_model,27,80,true,23,24,31,31,1.0,0.9983627082412765,100,0.8492805715629688,1.0,80
5.0,D_full_model,28,84,true,30,30,35,35,0.0,0.9983522423055342,99,0.8494873288502429,0.99,84
5.0,D_full_model,29,132,true,66,66,83,83,1.0,0.9995315402744831,94,0.7858451694835727,0.94,132
5.0,D_full_model,30,93,true,34,35,44,44,1.0,0.9988087438204917,97,0.8519409883659443,0.97,93
