Phi,theta_crystal,sigma_0,k,trial,converged,convergence_tick,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,total_ticks
0.0,1.5,1.0,2.0,6,true,88,28,28,39,39,0.0,0.999041152693151,100,0.9848890656582884,1.0,88
0.0,1.5,1.0,2.0,7,true,88,29,29,39,39,1.0,0.998902543774234,100,0.9542038749424826,1.0,88
0.0,1.5,1.0,2.0,8,true,91,37,37,42,42,0.0,0.9984320597695473,100,0.9028586217363351,1.0,91
0.0,1.5,1.0,2.0,9,true,95,40,40,46,46,0.0,0.9985227046978106,100,0.8626070169745829,1.0,95
0.0,1.5,1.0,2.0,10,true,96,41,40,47,47,1.0,0.9986573983602418,100,0.8692088962242651,1.0,96
0.0,1.5,1.0,2.0,11,true,94,45,45,44,45,1.0,0.9975065086979132,100,0.8050810075959618,1.0,94
0.0,1.5,1.0,2.0,12,true,92,38,38,43,43,1.0,0.9987273855909379,100,0.9085106271865545,1.0,92
0.0,1.5,1.0,2.0,13,true,88,28,28,39,39,0.0,0.999082031762828,100,0.9793420308594437,1.0,88
0.0,1.5,1.0,2.0,14,true,89,31,31,40,40,1.0,0.998821088805275,100,0.96900548218649,1.0,89
0.0,1.5,1.0,2.0,15,true,98,48,48,49,49,1.0,0.997190647143896,100,0.782009405022569,1.0,98
0.0,1.5,1.0,2.0,16,true,92,32,32,43,43,1.0,0.9991051733458939,100,0.9700281844005901,1.0,92
0.0,1.5,1.0,2.0,17,true,79,18,18,30,30,1.0,0.9991699135254707,100,1.0,1.0,79
0.0,1.5,1.0,2.0,18,true,98,47,48,48,49,1.0,0.9977165110132039,100,0.7961601865196354,1.0,98
0.0,1.5,1.0,2.0,19,true,84,20,21,35,35,1.0,0.9993011418482852,100,1.0,1.0,84
0.0,1.5,1.0,2.0,20,true,87,25,25,38,38,1.0,0.9991949108248493,100,0.9948698620174943,1.0,87
0.0,1.5,1.0,4.0,1,true,83,22,22,34,34,1.0,0.9991156234877462,100,1.0,1.0,83
0.0,1.5,1.0,4.0,2,true,90,27,27,41,41,1.0,0.999174325783138,100,0.969546095574527,1.0,90
0.0,1.5,1.0,4.0,3,true,83,20,20,34,34,1.0,0.9993283898976205,100,1.0,1.0,83
0.0,1.5,1.0,4.0,4,true,95,38,38,46,46,0.0,0.998891536077559,100,0.8948506085454568,1.0,95
0.0,1.5,1.0,4.0,5,true,83,22,22,34,34,1.0,0.9992205401951654,100,1.0,1.0,83
0.0,1.5,1.0,4.0,6,true,100,50,50,51,51,1.0,0.9973699975641136,100,0.7990634299335692,1.0,100
0.0,1.5,1.0,4.0,7,true,86,23,23,37,37,0.0,0.9993493294919549,100,1.0,1.0,86
0.0,1.5,1.0,4.0,8,true,90,30,30,41,41,1.0,0.9990596071049528,100,0.9798357476732441,1.0,90
0.0,1.5,1.0,4.0,9,true,104,54,55,52,55,0.0,0.9973539485120021,100,0.7592156734602326,1.0,104
0.0,1.5,1.0,4.0,10,true,81,20,20,32,32,0.0,0.9991702027098005,100,1.0,1.0,81
0.0,1.5,1.0,4.0,11,true,89,29,30,40,40,1.0,0.9989176786143292,100,0.9637454104985,1.0,89
0.0,1.5,1.0,4.0,12,true,81,20,20,32,32,0.0,0.9992729458345119,100,1.0,1.0,81
0.0,1.5,1.0,4.0,13,true,92,33,33,43,43,0.0,0.9989340227343015,100,0.9194851381815412,1.0,92
0.0,1.5,1.0,4.0,14,true,91,34,34,42,42,1.0,0.998797211876191,100,0.9279465098213994,1.0,91
0.0,1.5,1.0,4.0,15,true,94,38,38,45,45,0.0,0.9985414757740517,100,0.8582007397648365,1.0,94
0.0,1.5,1.0,4.0,16,true,92,33,33,43,43,0.0,0.999018183445323,100,0.9489328660543218,1.0,92
0.0,1.5,1.0,4.0,17,true,84,21,22,35,35,1.0,0.999266147115402,100,1.0,1.0,84
0.0,1.5,1.0,4.0,18,true,82,19,20,33,33,1.0,0.9993146168986056,100,1.0,1.0,82
0.0,1.5,1.0,4.0,19,true,94,35,37,45,45,1.0,0.9985601109654095,100,0.8482700399192279,1.0,94
0.0,1.5,1.0,4.0,20,true,90,29,29,41,41,0.0,0.99920467611135,100,0.9747040782836297,1.0,90
0.0,3.0,0.5,1.0,1,true,89,27,27,40,40,0.0,0.9989495712066062,98,0.6387223827489072,0.98,89
0.0,3.0,0.5,1.0,2,true,99,33,33,50,50,1.0,0.9994887482017907,96,0.6495640838601026,0.96,99
0.0,3.0,0.5,1.0,3,true,76,26,27,27,27,0.0,0.9969255675616382,99,0.6214533431049519,0.99,76
0.0,3.0,0.5,1.0,4,true,80,28,28,29,29,1.0,0.9979583806611585,98,0.627348141563047,0.98,80
0.0,3.0,0.5,1.0,5,true,98,44,45,49,49,1.0,0.9982242898126954,100,0.6008530480347898,1.0,98
0.0,3.0,0.5,1.0,6,true,96,29,34,47,47,0.0,0.9992799748105274,99,0.6404416238121193,0.99,96
0.0,3.0,0.5,1.0,7,true,108,50,50,59,59,1.0,0.9987878423138803,99,0.5784371368011811,0.99,108
0.0,3.0,0.5,1.0,8,true,80,31,30,31,31,0.0,0.9978545099777983,97,0.6265231186900542,0.97,80
0.0,3.0,0.5,1.0,9,true,79,26,26,30,30,0.0,0.9976931829681545,100,0.6250401159615585,1.0,79
0.0,3.0,0.5,1.0,10,true,117,64,67,68,68,0.0,0.9978461127477751,99,0.570485454404521,0.99,117
0.0,3.0,0.5,1.0,11,true,75,26,26,24,26,0.0,0.9972801528608677,98,0.6243885705210205,0.98,75
0.0,3.0,0.5,1.0,12,true,97,40,41,48,48,1.0,0.9987234037884085,99,0.6126179530114504,0.99,97
0.0,3.0,0.5,1.0,13,true,133,81,81,84,84,0.0,0.9978736967683927,97,0.5891637903398996,0.97,133
0.0,3.0,0.5,1.0,14,true,75,22,22,26,26,0.0,0.9976532120693102,99,0.6228243084734286,0.99,75
0.0,3.0,0.5,1.0,15,true,72,20,20,23,23,0.0,0.9975091210507433,99,0.6224136137301491,0.99,72
0.0,3.0,0.5,1.0,16,true,97,42,42,48,48,1.0,0.9987693313155386,98,0.6177787687759212,0.98,97
0.0,3.0,0.5,1.0,17,true,72,20,20,23,23,1.0,0.9978678694263583,100,0.6203898418601824,1.0,72
0.0,3.0,0.5,1.0,18,true,105,49,51,56,56,0.0,0.9986252561980744,100,0.588573473878591,1.0,105
0.0,3.0,0.5,1.0,19,true,81,28,28,32,32,0.0,0.9973160053502133,99,0.6250988619945979,0.99,81
0.0,3.0,0.5,1.0,20,true,108,42,42,59,59,0.0,0.9993363600351927,98,0.6187204447272426,0.98,108
0.0,3.0,0.5,2.0,1,true,104,47,49,55,55,0.0,0.9984433091223771,98,0.5902674959654989,0.98,104
0.0,3.0,0.5,2.0,2,true,96,37,37,47,47,0.99,0.961133638799546,98,0.6111940666530763,0.98,96
0.0,3.0,0.5,2.0,3,true,100,51,50,48,51,1.0,0.9979258437656361,100,0.6142243038513944,1.0,100
0.0,3.0,0.5,2.0,4,true,111,56,56,62,62,1.0,0.9983428762451048,98,0.5828350500663327,0.98,111
0.0,3.0,0.5,2.0,5,true,91,27,27,23,27,1.0,0.9982695714632547,99,0.6483823553818012,0.99,91
0.0,3.0,0.5,2.0,6,true,118,65,65,65,65,0.0,0.9951803274742892,99,0.569900113827475,0.99,118
0.0,3.0,0.5,2.0,7,true,84,29,33,33,33,1.0,0.9939799670822593,99,0.6269015070983024,0.99,84
0.0,3.0,0.5,2.0,8,true,114,56,56,52,56,1.0,0.9979083929214204,99,0.5811548534303785,0.99,114
0.0,3.0,0.5,2.0,9,true,87,38,38,34,38,1.0,0.9956409838722141,98,0.6310886714375681,0.98,87
0.0,3.0,0.5,2.0,10,true,84,33,33,28,33,0.0,0.9981846057335569,97,0.6366946765387899,0.97,84
0.0,3.0,0.5,2.0,11,true,95,40,40,46,46,1.0,0.9909744288699602,97,0.624864657585464,0.97,95
0.0,3.0,0.5,2.0,12,true,76,27,27,26,27,0.0,0.9966498287374205,97,0.6239332743615383,0.97,76
0.0,3.0,0.5,2.0,13,true,88,39,39,34,39,0.0,0.9977951334228433,97,0.639041312916376,0.97,88
0.0,3.0,0.5,2.0,14,true,83,30,34,29,34,0.0,0.9970780704901995,95,0.6317403777430648,0.95,83
0.0,3.0,0.5,2.0,15,true,100,35,39,51,51,1.0,0.9993122209049461,94,0.651412714779995,0.94,100
0.0,3.0,0.5,2.0,16,true,80,28,28,25,28,0.0,0.9978243405967152,98,0.6321755330418127,0.98,80
0.0,3.0,0.5,2.0,17,true,100,41,43,51,51,0.0,0.9982566590122495,98,0.6168733942886937,0.98,100
0.0,3.0,0.5,2.0,18,true,111,52,52,62,62,1.0,0.998309780422998,96,0.5677228420335806,0.96,111
0.0,3.0,0.5,2.0,19,true,74,25,24,23,25,0.0,0.9976288269180493,97,0.625221217443448,0.97,74
0.0,3.0,0.5,2.0,20,true,101,43,43,51,52,1.0,0.9981947184736556,98,0.6297548541615838,0.98,101
0.0,3.0,0.5,4.0,1,true,137,86,78,67,86,0.0,0.9385982446669278,98,0.5628725320551878,0.98,137
0.0,3.0,0.5,4.0,2,true,127,53,53,31,53,0.0,0.997429203651953,100,0.6064046187969311,1.0,127
0.0,3.0,0.5,4.0,3,true,123,37,37,25,37,0.0,0.998271434889078,100,0.6839515948970906,1.0,123
0.0,3.0,0.5,4.0,4,true,184,46,46,48,56,1.0,0.9966502682431861,100,0.6774595406103895,1.0,184
0.0,3.0,0.5,4.0,5,true,128,59,78,63,79,0.97,0.9338793945769983,100,0.5525798390193776,1.0,128
0.0,3.0,0.5,4.0,6,true,146,85,85,77,85,0.99,0.9688251185098531,99,0.6057336001227933,0.99,146
0.0,3.0,0.5,4.0,7,true,148,96,96,84,96,1.0,0.9977470619138963,100,0.5968936049174685,1.0,148
