N,condition,exp_on,norm_on,trial,converged,conv_tick,first_beh_tick,first_cryst_50,final_coord,final_majority,final_cryst,final_norm_str,final_belief_err,mean_enforce,total_ticks
20,Neither,false,false,3,false,0,0,0,0.2,0.5,0,0.0,0.14999999999999997,0.0,3000
20,Neither,false,false,12,false,0,0,0,0.6,0.5,0,0.0,0.2708333333333333,0.0,3000
20,Neither,false,false,24,false,0,808,0,0.7,0.65,0,0.0,0.2816666666666667,0.0,3000
20,Neither,false,false,18,false,0,2517,0,0.8,0.6,0,0.0,0.2641666666666666,0.0,3000
20,Exp_only,true,false,1,true,24,13,0,1.0,1.0,0,0.0,0.0,0.0,224
20,Exp_only,true,false,7,true,41,41,0,1.0,1.0,0,0.0,0.0,0.0,241
20,Exp_only,true,false,16,true,56,13,0,1.0,1.0,0,0.0,0.0,0.0,256
20,Exp_only,true,false,45,true,23,23,0,1.0,1.0,0,0.0,0.0,0.0,223
20,Exp_only,true,false,41,true,15,15,0,1.0,1.0,0,0.0,0.0,0.0,215
20,Exp_only,true,false,35,true,31,31,0,1.0,1.0,0,0.0,0.0,0.0,231
20,Exp_only,true,false,33,true,150,43,0,1.0,1.0,0,0.0,0.0,0.0,350
20,Exp_only,true,false,10,true,114,78,0,1.0,1.0,0,0.0,0.0,0.0,314
20,Exp_only,true,false,25,true,140,131,0,1.0,1.0,0,0.0,0.0,0.0,340
20,Exp_only,true,false,31,true,39,33,0,1.0,1.0,0,0.0,0.0,0.0,239
20,Exp_only,true,false,19,true,46,9,0,1.0,1.0,0,0.0,0.0,0.0,246
20,Exp_only,true,false,28,true,48,24,0,1.0,1.0,0,0.0,0.0,0.0,248
20,Exp_only,true,false,4,true,66,40,0,1.0,1.0,0,0.0,0.0,0.0,266
20,Exp_only,true,false,22,true,91,88,0,1.0,1.0,0,0.0,0.0,0.0,291
20,Exp_only,true,false,2,true,96,58,0,1.0,1.0,0,0.0,0.0,0.0,296
20,Exp_only,true,false,43,true,17,17,0,1.0,1.0,0,0.0,0.0,0.0,217
20,Exp_only,true,false,39,true,62,62,0,1.0,1.0,0,0.0,0.0,0.0,262
20,Exp_only,true,false,37,true,124,105,0,1.0,1.0,0,0.0,0.0,0.0,324
20,Exp_only,true,false,8,true,92,92,0,1.0,1.0,0,0.0,0.0,0.0,292
20,Exp_only,true,false,36,true,26,26,0,1.0,1.0,0,0.0,0.0,0.0,226
20,Exp_only,true,false,42,true,26,23,0,1.0,1.0,0,0.0,0.0,0.0,226
20,Exp_only,true,false,13,true,192,107,0,1.0,1.0,0,0.0,0.0,0.0,392
20,Exp_only,true,false,17,true,47,26,0,1.0,1.0,0,0.0,0.0,0.0,247
20,Exp_only,true,false,11,true,114,58,0,1.0,1.0,0,0.0,0.0,0.0,314
