theta_crystal,trial,converged,convergence_tick,first_tick_behavioral,first_tick_crystal,first_tick_all_met,final_num_crystallised,final_frac_dominant_norm,final_mean_norm_strength,total_ticks
13.0,25,false,0,68,0,0,87,0.87,0.9990170126594347,3000
13.0,26,false,0,102,0,0,87,0.87,0.9997273011792213,3000
13.0,27,true,2642,49,2593,2593,90,0.9,0.9977314644967394,2642
13.0,28,true,165,48,116,116,92,0.92,0.884277852484283,165
13.0,29,false,0,91,0,0,78,0.78,0.9980304693496956,3000
13.0,30,true,381,63,332,332,90,0.9,0.9561197722564381,381
15.0,1,false,0,77,0,0,86,0.86,0.9987334601030512,3000
15.0,2,false,0,67,0,0,87,0.87,0.9999991400231587,3000
15.0,3,true,1420,68,1371,1371,90,0.9,0.996447536827001,1420
15.0,4,false,0,52,0,0,79,0.79,0.9999588742413572,3000
15.0,5,true,1302,74,1253,1253,90,0.9,0.9972731014157117,1302
15.0,6,false,0,40,0,0,89,0.89,0.9999989500145797,3000
15.0,7,false,0,38,0,0,80,0.8,0.9980953958959148,3000
15.0,8,false,0,55,0,0,64,0.64,0.9999579873243309,3000
15.0,9,false,0,67,0,0,85,0.85,0.9998308454549215,3000
15.0,10,false,0,72,0,0,77,0.77,0.9984863320066835,3000
15.0,11,true,1053,64,1004,1004,90,0.9,0.9920305633481731,1053
15.0,12,true,1577,72,1528,1528,90,0.9,0.9972883162796292,1577
15.0,13,false,0,65,0,0,81,0.81,0.9994830517219654,3000
15.0,14,false,0,78,0,0,86,0.86,0.9984796945816122,3000
15.0,15,true,2980,59,2931,2931,90,0.9,0.9973004918556179,2980
15.0,16,false,0,70,0,0,86,0.86,0.9995252486463577,3000
15.0,17,false,0,87,0,0,84,0.84,0.996848844075142,3000
15.0,18,true,322,60,273,273,90,0.9,0.9435139570141596,322
15.0,19,false,0,31,0,0,84,0.84,0.9992799544158577,3000
15.0,20,false,0,89,0,0,84,0.84,0.9999977931766133,3000
15.0,21,false,0,98,0,0,62,0.62,0.9994084440383102,3000
15.0,22,false,0,63,0,0,85,0.85,0.9999069611211608,3000
15.0,23,false,0,100,0,0,62,0.62,0.999717520488349,3000
15.0,24,true,638,65,589,589,90,0.9,0.9855585150063394,638
15.0,25,false,0,69,0,0,85,0.85,0.997173876000816,3000
15.0,26,true,2136,79,2087,2087,90,0.9,0.9971796050596585,2136
15.0,27,true,1536,67,1487,1487,90,0.9,0.997756916660405,1536
15.0,28,true,969,60,920,920,90,0.9,0.9916961987368582,969
15.0,29,true,2301,88,2252,2252,91,0.91,0.996034608003323,2301
15.0,30,true,445,69,396,396,91,0.91,0.9649015812294275,445
18.0,1,false,0,66,0,0,80,0.8,0.9997886789316961,3000
18.0,2,false,0,111,0,0,69,0.69,0.9985033411920885,3000
18.0,3,false,0,92,0,0,71,0.71,0.9986230658729112,3000
18.0,4,false,0,164,0,0,58,0.58,0.9982086370669114,3000
18.0,5,true,2593,75,2544,2544,90,0.9,0.9970409778701649,2593
18.0,6,false,0,33,0,0,89,0.89,0.9999338251091872,3000
18.0,7,false,0,52,0,0,64,0.64,0.9982173652729486,3000
18.0,8,false,0,62,0,0,86,0.86,0.9982879065940281,3000
18.0,9,false,0,80,0,0,86,0.86,0.9999993558079597,3000
18.0,10,false,0,105,0,0,66,0.66,0.9987978175847542,3000
18.0,11,false,0,71,0,0,88,0.88,0.9999982077211823,3000
18.0,12,false,0,63,0,0,87,0.87,0.9975270434631611,3000
18.0,13,false,0,62,0,0,85,0.85,0.9987566755357845,3000
18.0,14,false,0,49,0,0,78,0.78,0.9976193786616375,3000
18.0,15,false,0,60,0,0,62,0.62,0.999813524139495,3000
18.0,16,true,1120,82,1071,1071,91,0.91,0.9927503777921104,1120
18.0,17,false,0,120,0,0,73,0.73,0.9982525147970516,3000
18.0,18,false,0,93,0,0,85,0.85,0.9984664014061363,3000
18.0,19,false,0,134,0,0,74,0.74,0.9999148085381604,3000
18.0,20,false,0,74,0,0,89,0.89,0.9995887590303519,3000
18.0,21,false,0,124,0,0,69,0.69,0.9993249911147112,3000
18.0,22,false,0,79,0,0,72,0.72,0.9998867510888003,3000
18.0,23,false,0,89,0,0,72,0.72,0.9985801852438454,3000
18.0,24,false,0,106,0,0,84,0.84,0.9978183854335227,3000
18.0,25,false,0,46,0,0,61,0.61,0.9990445448738997,3000
18.0,26,false,0,69,0,0,79,0.79,0.998161180849156,3000
18.0,27,false,0,89,0,0,77,0.77,0.9983518595473143,3000
18.0,28,false,0,80,0,0,76,0.76,0.9951299400633136,3000
18.0,29,false,0,83,0,0,80,0.8,0.9978158886639914,3000
18.0,30,false,0,63,0,0,87,0.87,0.9994502040242618,3000
20.0,1,false,0,81,0,0,88,0.88,0.9994096753219615,3000
20.0,2,false,0,81,0,0,64,0.64,0.9999863567656824,3000
20.0,3,false,0,87,0,0,67,0.67,0.9968272455515027,3000
20.0,4,false,0,94,0,0,72,0.72,0.9980574616296098,3000
20.0,5,false,0,125,0,0,73,0.73,0.9974056016169517,3000
20.0,6,false,0,51,0,0,77,0.77,0.9987866188269221,3000
20.0,7,false,0,84,0,0,82,0.82,0.9983854858441527,3000
20.0,8,false,0,82,0,0,82,0.82,0.9999483252904345,3000
20.0,9,false,0,56,0,0,53,0.53,0.9963076626481998,3000
20.0,10,false,0,71,0,0,87,0.87,0.9929912109951529,3000
20.0,11,false,0,74,0,0,67,0.67,0.9997545024876401,3000
20.0,12,false,0,132,0,0,63,0.63,0.9999469463944556,3000
20.0,13,false,0,69,0,0,57,0.57,0.9968721595791491,3000
20.0,14,false,0,86,0,0,66,0.66,0.9958652402432088,3000
20.0,15,false,0,62,0,0,65,0.65,0.9955841049185002,3000
20.0,16,false,0,84,0,0,56,0.56,0.9992999023138756,3000
20.0,17,false,0,72,0,0,85,0.85,0.9984966109918536,3000
20.0,18,false,0,87,0,0,84,0.84,0.9986042635291147,3000
20.0,19,false,0,83,0,0,89,0.89,0.9982070337530211,3000
20.0,20,false,0,32,0,0,33,0.33,0.9953160219650119,3000
20.0,21,false,0,88,0,0,83,0.83,0.9998234552361794,3000
20.0,22,false,0,68,0,0,72,0.72,0.9977375751253904,3000
20.0,23,false,0,130,0,0,68,0.68,0.9983185253620166,3000
20.0,24,false,0,71,0,0,71,0.71,0.9987254476978268,3000
20.0,25,false,0,67,0,0,80,0.8,0.998886470592182,3000
20.0,26,false,0,78,0,0,86,0.86,0.9999964815817913,3000
20.0,27,false,0,55,0,0,56,0.56,0.9968952975125644,3000
20.0,28,false,0,66,0,0,70,0.7,0.9967408878816786,3000
20.0,29,false,0,63,0,0,73,0.73,0.9982058405571442,3000
20.0,30,false,0,111,0,0,81,0.81,0.9992633270947427,3000
