condition,trial,symmetry_break_tick,agent_divergence_at_break,first_mover_mean_C,diffusion_duration,crystal_cascade_bursts,steady_state_tick,enforcement_at_steady,recovery_ticks,perturbation_depth,norm_survival_rate,recrystallisation_rate,norm_flip
EWA_BL,36,13,0.3582651122849829,NaN,11,0,24,0.0,1,0.8,NaN,NaN,false
EWA_BL,37,1,0.48280487762604435,NaN,9,0,10,0.0,1,0.79,NaN,NaN,false
EWA_BL,38,4,0.39616925249888024,NaN,10,0,14,0.0,1,0.8,NaN,NaN,false
EWA_BL,39,5,0.3994740530143061,NaN,9,0,14,0.0,1,0.8,NaN,NaN,false
EWA_BL,40,4,0.3719644395946694,NaN,11,0,15,0.0,1,0.8,NaN,NaN,false
EWA_BL,41,18,0.33527328812731766,NaN,12,0,30,0.0,1,0.8,NaN,NaN,false
EWA_BL,42,15,0.35688727571890816,NaN,13,0,28,0.0,1,0.8,NaN,NaN,false
EWA_BL,43,4,0.38704213749215066,NaN,11,0,15,0.0,1,0.79,NaN,NaN,false
EWA_BL,44,1,0.48515579915621154,NaN,10,0,11,0.0,1,0.8,NaN,NaN,false
EWA_BL,45,6,0.3688074038930967,NaN,10,0,16,0.0,1,0.79,NaN,NaN,false
EWA_BL,46,1,0.48280487762604435,NaN,10,0,11,0.0,1,0.8,NaN,NaN,false
EWA_BL,47,8,0.37929527642840977,NaN,10,0,18,0.0,1,0.79,NaN,NaN,false
EWA_BL,48,15,0.3137529954860498,NaN,7,0,22,0.0,1,0.8,NaN,NaN,false
EWA_BL,49,9,0.3544742929386209,NaN,10,0,22,0.0,1,0.8,NaN,NaN,false
EWA_BL,50,3,0.4295763055308553,NaN,10,0,15,0.0,1,0.79,NaN,NaN,false
DM_base,1,57,0.31499536810946166,0.29401355735751333,68,0,252,0.0,63,0.51,NaN,NaN,true
DM_base,2,25,0.32252141282152885,0.2382427937427361,95,0,217,0.0,80,0.5,NaN,NaN,true
DM_base,3,11,0.3456266369452816,0.2721732589292857,38,0,121,0.0,44,0.51,NaN,NaN,true
DM_base,4,7,0.33507436734228363,0.2837643483333333,48,0,143,0.0,71,0.5,NaN,NaN,true
DM_base,5,14,0.3217516591888795,0.2897676861921167,63,0,112,0.0,89,0.5,NaN,NaN,true
DM_base,6,3,0.3307984422992488,0.36412295081967216,60,0,264,0.0,119,0.54,NaN,NaN,true
DM_base,7,3,0.32608275993981395,0.3759,77,0,177,0.0,50,0.5,NaN,NaN,true
DM_base,8,31,0.3419549986473187,0.2615312351599305,26,0,252,0.0,103,0.52,NaN,NaN,true
DM_base,9,11,0.3171536216931575,0.28310589189166674,57,0,244,0.0,89,0.53,NaN,NaN,true
