theta_crystal,Phi,trial,N,converged,convergence_tick,total_ticks,final_fraction_A,final_mean_confidence,final_num_crystallised,final_mean_norm_strength,final_frac_dominant_norm,first_tick_behavioral,first_tick_belief,first_tick_crystal,first_tick_all_met,total_dissolutions,total_enforcements,recryst_flip,recryst_same,peak_norm_split,time_in_churn
3.0,2.0,13,5000,true,109,109,1.0,0.9989243719033075,4884,0.7613970760347333,0.9768,52,50,60,60,2029,51858,1908,5,1.0,29
5.0,0.0,9,5000,true,116,116,1.0,0.9997315660387714,4571,0.8505071653939792,0.9142,45,45,67,67,397,0,87,0,1.0,20
3.0,0.5,12,5000,true,115,115,1.0,0.9995469664353613,4818,0.8451400021282066,0.9636,49,48,66,66,1387,44037,1205,0,1.0,26
3.0,2.0,14,5000,true,127,127,1.0,0.997182210265233,4936,0.7906577029257047,0.9872,78,77,77,78,4531,67551,2706,1761,1.0,62
5.0,0.0,10,5000,true,140,140,0.0,0.9993510327452341,4708,0.7934310958639639,0.9416,78,77,91,91,1725,0,1085,400,1.0,51
3.0,2.0,15,5000,true,123,123,1.0,0.9973407101183999,4962,0.760718334188241,0.9924,74,73,72,74,3971,63488,2546,1387,1.0,54
3.0,0.5,13,5000,true,153,153,0.0,0.9989649869431171,4908,0.8306624319828129,0.9816,95,94,104,104,4858,83491,2806,1960,1.0,67
3.0,2.0,16,5000,true,109,109,1.0,0.998026405125983,4928,0.7122926833347434,0.9856,56,55,60,60,2147,54764,2063,12,1.0,30
5.0,0.0,11,5000,true,131,131,1.0,0.999761435543768,4564,0.81794222017684,0.9128,59,58,82,82,807,0,460,13,1.0,34
3.0,0.5,14,5000,true,117,117,0.0,0.9994538505609013,4846,0.8183404976279337,0.9692,54,52,68,68,1582,49611,1428,0,1.0,27
5.0,0.0,12,5000,true,142,142,1.0,0.999412288222564,4688,0.7993740886085565,0.9376,79,78,93,93,1737,0,1060,425,1.0,49
3.0,0.5,15,5000,true,116,116,1.0,0.999433222787394,4829,0.8272007482072031,0.9658,52,52,67,67,1528,48182,1357,0,1.0,27
3.0,2.0,17,5000,true,113,113,1.0,0.9970885180433945,4989,0.6764735732609237,0.9978,64,64,63,64,2590,58582,2317,262,1.0,39
5.0,0.0,13,5000,true,140,140,1.0,0.999254995306011,4740,0.7930947837444191,0.948,79,79,91,91,1749,0,1085,450,1.0,53
3.0,0.5,16,5000,true,118,118,0.0,0.9990090693050141,4884,0.7727848913424148,0.9768,59,58,69,69,1785,55144,1665,4,1.0,32
3.0,2.0,18,5000,true,127,127,0.0,0.9972622691497951,4936,0.7823745898868264,0.9872,77,76,78,78,4429,67238,2730,1635,1.0,58
3.0,2.0,19,5000,true,110,110,0.0,0.9974444184293492,4979,0.684897054592673,0.9958,60,59,61,61,2252,56755,2194,37,1.0,32
3.0,0.5,17,5000,true,116,116,1.0,0.9995456690360514,4804,0.8378304961516486,0.9608,50,50,67,67,1462,46117,1267,0,1.0,24
5.0,0.0,14,5000,true,131,131,1.0,0.9996669178359774,4598,0.8062278323111743,0.9196,63,62,82,82,914,0,557,32,1.0,35
3.0,2.0,20,5000,true,119,119,0.0,0.9971769370169633,4980,0.7343699308746332,0.996,70,70,69,70,3555,61509,2455,1080,1.0,50
3.0,0.5,18,5000,true,116,116,1.0,0.9994608263115388,4832,0.8273865707003438,0.9664,52,52,67,67,1509,48071,1341,0,1.0,26
5.0,0.0,15,5000,true,130,130,0.0,0.999671437264403,4613,0.812560099855409,0.9226,61,61,81,81,867,0,552,20,1.0,38
3.0,2.0,21,5000,true,114,114,0.0002,0.9967820480567474,4990,0.6821228702509736,0.998,65,65,64,65,2720,59019,2335,375,1.0,41
5.0,0.0,16,5000,true,133,133,1.0,0.9997233971865649,4598,0.8091487086892996,0.9196,63,62,84,84,915,0,556,47,1.0,36
3.0,0.5,19,5000,true,117,117,0.0,0.9991618250566188,4879,0.7879528617269278,0.9758,57,56,68,68,1720,53869,1598,1,1.0,29
3.0,2.0,22,5000,true,110,110,0.0,0.9981631294907934,4960,0.6995092557166592,0.992,57,57,61,61,2232,55611,2166,26,1.0,31
5.0,0.0,17,5000,true,139,139,0.0,0.9993850928108481,4686,0.7968638104257515,0.9372,76,76,90,90,1572,0,966,348,1.0,49
3.0,0.5,20,5000,true,119,119,0.0,0.998257140388453,4958,0.7222782471327175,0.9916,66,66,70,70,2062,60992,1952,68,1.0,38
3.0,2.0,23,5000,true,121,121,1.0,0.9969521467677201,4958,0.7583066209785075,0.9916,72,71,71,72,3962,62759,2521,1399,1.0,51
5.0,0.0,18,5000,true,151,151,0.0,0.9991897255009043,4742,0.8019365579322171,0.9484,91,91,102,102,2397,0,1367,810,1.0,63
3.0,2.0,24,5000,true,109,109,0.0,0.9979421342057895,4954,0.6995761954690911,0.9908,57,57,60,60,2190,55562,2128,16,1.0,29
3.0,0.5,21,5000,true,110,110,1.0,0.9996719081882688,4833,0.8626356416297797,0.9666,41,40,61,61,959,31903,792,0,1.0,19
5.0,0.0,19,5000,true,146,146,0.0,0.999281929153839,4715,0.7997030939600338,0.943,85,84,97,97,2127,0,1206,678,1.0,56
3.0,0.5,22,5000,true,119,119,0.0,0.9986470229106562,4934,0.7385191863247755,0.9868,64,64,70,70,1976,59132,1857,53,1.0,32
5.0,0.0,20,5000,true,130,130,1.0,0.9998400103265969,4553,0.8368421948500165,0.9106,55,54,81,81,663,0,301,5,1.0,29
3.0,0.5,23,5000,true,119,119,0.0,0.9987998938478265,4907,0.7484337077355218,0.9814,62,61,70,70,1898,57972,1786,19,1.0,35
5.0,0.0,21,5000,true,121,121,1.0,0.9998036353907832,4564,0.8483491063825086,0.9128,47,47,72,72,444,0,135,0,1.0,21
3.0,0.5,24,5000,true,117,117,0.0,0.9994545283298297,4840,0.819207765041318,0.968,53,53,68,68,1602,50045,1441,1,1.0,28
3.0,0.5,25,5000,true,115,115,0.0,0.9993617251134119,4844,0.8228824958409791,0.9688,53,52,66,66,1532,48561,1376,0,1.0,28
3.0,0.5,26,5000,true,118,118,1.0,0.9984876688669365,4929,0.7355719139716592,0.9858,64,64,69,69,1952,59314,1852,29,1.0,35
3.0,0.5,27,5000,true,118,118,1.0,0.9985658154375456,4937,0.7390135653918862,0.9874,63,63,69,69,1962,59013,1864,35,1.0,34
9.0,0.5,29,5000,false,0,10000,0.0,0.9999999999999998,4077,0.9999999999999996,0.8154,78,77,0,0,125,11899,0,0,1.0,18
15.0,0.5,9,5000,false,0,10000,0.0,0.9999999999999998,2901,0.9999999999999993,0.5802,108,107,0,0,16,4849,0,0,1.0,13
